game_id,seconds_elapsed,away_score,home_score,underdog_score,favorite_score,favorite_margin
0022300987,330,8,15,15,8,-7
0022300986,930,29,39,29,39,10
0022300986,1110,36,41,36,41,5
0022300985,450,17,19,17,19,2
0022300985,600,21,26,21,26,5
0022300985,2460,83,85,83,85,2
0022300987,960,38,41,41,38,-3
0022300983,840,30,37,30,37,7
0022300989,3270,105,105,105,105,0
0022300983,540,16,25,16,25,9
0022300988,1680,76,67,76,67,-9
0022300986,240,10,10,10,10,0
0022300987,1290,46,53,53,46,-7
0022300985,570,21,26,21,26,5
0022300987,1650,65,61,61,65,4
0022300987,1680,65,63,63,65,2
0022300983,2460,99,93,99,93,-6
0022300987,390,10,20,20,10,-10
0022300987,1050,42,44,44,42,-2
0022300985,1560,51,55,51,55,4
0022300985,2550,85,88,85,88,3
0022300990,2700,99,132,99,132,33
0022300983,1800,77,70,77,70,-7
0022300986,1500,51,57,51,57,6
0022300986,1260,41,46,41,46,5
0022300988,270,13,4,13,4,-9
0022300988,0,0,0,0,0,0
0022300990,990,41,48,41,48,7
0022300983,1110,39,47,39,47,8
0022300985,1920,57,72,57,72,15
0022300990,1860,72,93,72,93,21
0022300986,1200,38,43,38,43,5
0022300986,1860,64,77,64,77,13
0022300990,2460,94,126,94,126,32
0022300989,3090,105,105,105,105,0
0022300988,2820,113,104,113,104,-9
0022300987,630,19,33,33,19,-14
0022300987,570,19,31,31,19,-12
0022300987,2130,83,83,83,83,0
0022300983,120,7,2,7,2,-5
0022300985,1680,51,66,51,66,15
0022300983,900,32,41,32,41,9
0022300987,2490,97,91,91,97,6
0022300985,2820,91,95,91,95,4
0022400061,2280,91,121,91,121,30
0022400061,2670,109,132,109,132,23
0022400062,240,7,9,9,7,-2
0022400062,420,10,16,16,10,-6
0022400062,960,29,37,37,29,-8
0022400061,450,16,24,16,24,8
0022400061,630,20,35,20,35,15
0022400061,1650,60,88,60,88,28
0022400062,1170,32,51,51,32,-19
0022400062,1860,57,70,70,57,-13
0022400061,1740,66,93,66,93,27
0022400061,1830,70,99,70,99,29
0022400062,1380,42,53,53,42,-11
0022400062,2430,84,91,91,84,-7
0022400061,510,17,27,17,27,10
0022400061,540,17,27,17,27,10
0022400061,780,28,43,28,43,15
0022400062,1740,50,64,64,50,-14
0022400061,1320,49,69,49,69,20
0022400061,1890,75,99,75,99,24
0022400061,2010,78,108,78,108,30
0022400062,1320,42,53,53,42,-11
0022400062,2490,86,93,93,86,-7
0022400062,2520,86,95,95,86,-9
0022400061,0,0,0,0,0,0
0022400061,210,10,13,10,13,3
0022400062,1230,37,51,51,37,-14
0022400062,2220,78,85,85,78,-7
0022400061,1350,49,72,49,72,23
0022400061,1590,60,83,60,83,23
0022400062,390,10,16,16,10,-6
0022400062,1710,50,64,64,50,-14
0022400061,420,16,21,16,21,5
0022400061,1770,68,96,68,96,28
0022400061,2760,109,132,109,132,23
0022400062,1350,42,53,53,42,-11
0022400062,1530,44,59,59,44,-15
0022400062,1620,47,62,62,47,-15
0022400062,2010,65,77,77,65,-12
0022400062,2730,95,105,105,95,-10
0022400061,750,26,43,26,43,17
0022400061,1500,55,80,55,80,25
0022400061,2850,109,132,109,132,23
0022400061,2400,95,128,95,128,33
0022400062,270,7,9,9,7,-2
0022400062,1200,35,51,51,35,-16
0022400061,90,6,8,6,8,2
0022400061,1020,33,52,33,52,19
0022400062,780,26,24,24,26,2
0022400062,900,27,32,32,27,-5
0022400061,720,24,43,24,43,19
0022400061,1380,50,72,50,72,22
0022400061,2100,84,111,84,111,27
0022400061,1800,70,96,70,96,26
0022400061,2550,100,130,100,130,30
0022400062,1020,29,41,41,29,-12
0022400062,1500,44,57,57,44,-13
0022400062,1680,50,64,64,50,-14
0022400061,570,17,30,17,30,13
0022400061,990,30,52,30,52,22
0022400061,1260,46,67,46,67,21
0022400062,1950,63,74,74,63,-11
0022400062,2310,81,87,87,81,-6
0022400062,2700,95,103,103,95,-8
0022400061,150,8,11,8,11,3
0022400061,870,28,43,28,43,15
